-50.2	-0.19	1.95
-50.2	-0.59	2.24
-50.2	-0.99	2.26
-50.2	-1.39	1.81
-50.2	-1.79	0.07
-50.2	-9.39	0.85
-50.2	-9.79	1.72
-50.2	-10.1	2.12
-50.2	-10.5	0.27
-50.2	-10.9	2.79
-50.2	-11.3	2.57
-50.2	-11.7	1.27
-50.2	-12.1	0.56
-50.2	-12.5	0.69
-50.2	-12.9	0.2
-50.2	-13.3	0.07
-50.2	-13.7	0.08
-50.2	-14.1	2.42
-50.2	-14.5	1.95
-50.2	-14.9	1.63
-50.2	-15.3	0.76
-50.2	-15.7	0.85
-50.2	-16.1	2.33
-50.2	-16.5	1.36
-50.2	-16.9	0.29
-50.2	-17.3	2.31
-50.2	-17.7	0.06
-50.2	-18.1	1.74
-50.2	-18.5	0.14
-50.2	-18.9	1.12
-50.2	-19.3	1.84
-50.2	-19.7	0.72
-50.2	-2.19	1.37
-50.2	-2.59	0.15
-50.2	-2.99	0.56
-50.2	-20.1	2.62
-50.2	-20.5	2.27
-50.2	-20.9	2.37
-50.2	-21.3	2.33
-50.2	-21.7	1.37
-50.2	-22.1	0.57
-50.2	-22.5	0.89
-50.2	-22.9	0.11
-50.2	-23.3	0.59
-50.2	-23.7	1.26
-50.2	-24.1	2.52
-50.2	-24.5	0.18
-50.2	-24.9	0.2
-50.2	-25.3	1.16
-50.2	-25.7	1.01
-50.2	-26.1	0.17
-50.2	-26.5	1.11
-50.2	-26.9	1.94
-50.2	-27.3	2.2
-50.2	-27.7	2.9
-50.2	-28.1	2.36
-50.2	-28.5	1.45
-50.2	-28.9	2.54
-50.2	-29.3	1.33
-50.2	-29.7	2.47
-50.2	-3.39	2.44
-50.2	-3.79	2.17
-50.2	-30.1	1.89
-50.2	-30.5	2.87
-50.2	-30.9	0.13
-50.2	-31.3	2.29
-50.2	-31.7	2.41
-50.2	-32.1	2.43
-50.2	-32.5	1.51
-50.2	-32.9	1.04
-50.2	-33.3	0.31
-50.2	-33.7	1.04
-50.2	-34.1	2.41
-50.2	-34.5	1.87
-50.2	-34.9	1.13
-50.2	-35.3	2.43
-50.2	-35.7	2.39
-50.2	-36.1	0.74
-50.2	-36.5	1.88
-50.2	-36.9	1.58
-50.2	-37.3	1.98
-50.2	-37.7	2.56
-50.2	-38.1	1.79
-50.2	-38.5	1.48
-50.2	-38.9	2.37
-50.2	-39.3	1.37
-50.2	-39.7	2.01
-50.2	-4.19	2.79
-50.2	-4.59	1.88
-50.2	-4.99	2.84
-50.2	-40.1	2.6
-50.2	-40.5	1.17
-50.2	-40.9	0.82
-50.2	-41.3	1.66
-50.2	-41.7	1.83
-50.2	-42.1	0.9
-50.2	-42.5	2.8
-50.2	-42.9	0.83
-50.2	-43.3	2.75
-50.2	-43.7	1.95
-50.2	-44.1	2.24
-50.2	-44.5	2.38
-50.2	-44.9	1.6
-50.2	-45.3	2.72
-50.2	-45.7	0.48
-50.2	-46.1	1.5
-50.2	-46.5	1.66
-50.2	-46.9	0.52
-50.2	-47.3	2.87
-50.2	-47.7	0.78
-50.2	-48.1	0.09
-50.2	-48.5	2.01
-50.2	-48.9	0.6
-50.2	-49.3	0.46
-50.2	-49.7	2.43
-50.2	-5.39	2.92
-50.2	-5.79	2.2
-50.2	-50.1	2.26
-50.2	-50.5	2.47
-50.2	-50.9	1.15
-50.2	-51.3	2.68
-50.2	-51.7	1.64
-50.2	-52.1	2.87
-50.2	-52.5	2.29
-50.2	-52.9	0.96
-50.2	-53.3	2.25
-50.2	-53.7	0.26
-50.2	-54.1	2.46
-50.2	-54.5	2.93
-50.2	-54.9	1.96
-50.2	-55.3	1.99
-50.2	-55.7	2.8
-50.2	-56.1	1.66
-50.2	-56.5	2.66
-50.2	-56.9	2.13
-50.2	-57.3	1.33
-50.2	-57.7	2.11
-50.2	-58.1	1.45
-50.2	-58.5	0.02
